"day","hour","forecast","value location:60_127 Start : 20180901 "
"07","23:30","+2","22.000000"
"07","23:30","+3","24.000000"
"07","23:30","+4","26.000000"
"08","00:30","+1","21.600000"
"08","00:30","+2","23.799999"
"08","00:30","+3","26.000000"
"08","01:30","+1","23.900000"
"08","01:30","+2","26.000000"
"08","02:30","+1","26.000000"
"08","02:30","+2","26.299999"
"08","02:30","+3","26.700001"
"08","02:30","+4","27.000000"
"08","03:30","+1","26.000000"
"08","03:30","+2","26.500000"
"08","03:30","+3","27.000000"
"08","04:30","+1","26.600000"
"08","04:30","+2","27.000000"
"08","05:30","+1","27.000000"
"08","05:30","+2","26.299999"
"08","05:30","+3","25.700001"
"08","05:30","+4","25.000000"
"08","06:30","+1","25.799999"
"08","06:30","+2","25.400000"
"08","06:30","+3","25.000000"
"08","07:30","+1","25.600000"
"08","07:30","+2","25.000000"
"08","08:30","+1","25.000000"
"08","08:30","+2","23.700001"
"08","08:30","+3","22.299999"
"08","08:30","+4","21.000000"
"08","09:30","+1","24.100000"
"08","09:30","+2","23.100000"
"08","09:30","+3","22.000000"
"08","10:30","+1","22.900000"
"08","10:30","+2","22.000000"
"08","11:30","+1","22.000000"
"08","11:30","+2","21.299999"
"08","11:30","+3","20.700001"
"08","11:30","+4","20.000000"
"08","12:30","+1","21.299999"
"08","12:30","+2","20.600000"
"08","12:30","+3","20.000000"
"08","13:30","+1","20.700001"
"08","13:30","+2","20.000000"
"08","14:30","+1","20.000000"
"08","14:30","+2","19.299999"
"08","14:30","+3","18.700001"
"08","14:30","+4","18.000000"
"08","15:30","+1","19.400000"
"08","15:30","+2","18.700001"
"08","15:30","+3","18.000000"
"08","16:30","+1","18.600000"
"08","16:30","+2","18.000000"
"08","17:30","+1","18.000000"
"08","17:30","+2","17.700001"
"08","17:30","+3","17.299999"
"08","17:30","+4","17.000000"
"08","18:30","+1","17.299999"
"08","18:30","+2","17.200001"
"08","18:30","+3","17.000000"
"08","19:30","+1","17.000000"
"08","19:30","+2","17.000000"
"08","20:30","+1","17.000000"
"08","20:30","+2","18.000000"
"08","20:30","+3","19.000000"
"08","20:30","+4","20.000000"
"08","21:30","+1","17.100000"
"08","21:30","+2","19.100000"
"08","21:30","+3","21.000000"
"08","22:30","+1","18.500000"
"08","22:30","+2","21.000000"
"08","23:30","+1","21.000000"
"08","23:30","+2","22.700001"
"08","23:30","+3","24.299999"
"08","23:30","+4","26.000000"
"09","00:30","+1","22.500000"
"09","00:30","+2","24.299999"
"09","00:30","+3","26.000000"
"09","01:30","+1","24.400000"
"09","01:30","+2","26.000000"
"09","02:30","+1","26.000000"
"09","02:30","+2","26.299999"
"09","02:30","+3","26.700001"
"09","02:30","+4","27.000000"
"09","03:30","+1","26.200001"
"09","03:30","+2","26.600000"
"09","03:30","+3","27.000000"
"09","04:30","+1","26.600000"
"09","04:30","+2","27.000000"
"09","05:30","+1","27.000000"
"09","05:30","+2","26.299999"
"09","05:30","+3","25.700001"
"09","05:30","+4","25.000000"
"09","06:30","+1","26.500000"
"09","06:30","+2","25.700001"
"09","06:30","+3","25.000000"
"09","07:30","+1","26.000000"
"09","07:30","+2","25.000000"
"09","08:30","+1","25.000000"
"09","08:30","+2","23.700001"
"09","08:30","+3","22.299999"
"09","08:30","+4","21.000000"
"09","09:30","+1","24.600000"
"09","09:30","+2","23.299999"
"09","09:30","+3","22.000000"
"09","10:30","+1","22.900000"
"09","10:30","+2","22.000000"
"09","11:30","+1","22.000000"
"09","11:30","+2","21.299999"
"09","11:30","+3","20.700001"
"09","11:30","+4","20.000000"
"09","12:30","+1","21.500000"
"09","12:30","+2","20.700001"
"09","12:30","+3","20.000000"
"09","13:30","+1","20.900000"
"09","13:30","+2","20.000000"
"09","14:30","+1","20.000000"
"09","14:30","+2","19.299999"
"09","14:30","+3","18.700001"
"09","14:30","+4","18.000000"
"09","15:30","+1","19.799999"
"09","15:30","+2","18.900000"
"09","15:30","+3","18.000000"
"09","16:30","+1","19.000000"
"09","16:30","+2","18.000000"
"09","17:30","+1","18.000000"
"09","17:30","+2","17.700001"
"09","17:30","+3","17.299999"
"09","17:30","+4","17.000000"
"09","18:30","+1","18.200001"
"09","18:30","+2","17.600000"
"09","18:30","+3","17.000000"
"09","19:30","+1","17.600000"
"09","19:30","+2","17.000000"
"09","20:30","+1","17.000000"
"09","20:30","+2","18.299999"
"09","20:30","+3","19.700001"
"09","20:30","+4","21.000000"
"09","21:30","+1","20.299999"
"09","21:30","+2","21.200001"
"09","21:30","+3","22.000000"
"09","22:30","+1","20.799999"
"09","22:30","+2","22.000000"
"09","23:30","+1","22.000000"
"09","23:30","+2","23.000000"
"09","23:30","+3","24.000000"
"09","23:30","+4","25.000000"
"10","00:30","+1","23.200001"
"10","00:30","+2","24.100000"
"10","00:30","+3","25.000000"
"10","01:30","+1","24.299999"
"10","01:30","+2","25.000000"
"10","02:30","+1","25.000000"
"10","02:30","+2","25.700001"
"10","02:30","+3","26.299999"
"10","02:30","+4","27.000000"
"10","03:30","+1","25.799999"
"10","03:30","+2","26.400000"
"10","03:30","+3","27.000000"
"10","04:30","+1","26.400000"
"10","04:30","+2","27.000000"
"10","05:30","+1","27.000000"
"10","05:30","+2","26.000000"
"10","05:30","+3","25.000000"
"10","05:30","+4","24.000000"
"10","06:30","+1","26.200001"
"10","06:30","+2","25.100000"
"10","06:30","+3","24.000000"
"10","07:30","+1","25.299999"
"10","07:30","+2","24.000000"
"10","08:30","+1","24.000000"
"10","08:30","+2","23.000000"
"10","08:30","+3","22.000000"
"10","08:30","+4","21.000000"
"10","09:30","+1","24.200001"
"10","09:30","+2","23.100000"
"10","09:30","+3","22.000000"
"10","10:30","+1","23.200001"
"10","10:30","+2","22.000000"
"10","11:30","+1","22.000000"
"10","11:30","+2","21.299999"
"10","11:30","+3","20.700001"
"10","11:30","+4","20.000000"
"10","12:30","+1","21.900000"
"10","12:30","+2","20.900000"
"10","12:30","+3","20.000000"
"10","13:30","+1","21.000000"
"10","13:30","+2","20.000000"
"10","14:30","+1","20.000000"
"10","14:30","+2","19.299999"
"10","14:30","+3","18.700001"
"10","14:30","+4","18.000000"
"10","15:30","+1","19.600000"
"10","15:30","+2","18.799999"
"10","15:30","+3","18.000000"
"10","16:30","+1","18.799999"
"10","16:30","+2","18.000000"
"10","17:30","+1","18.000000"
"10","17:30","+2","17.700001"
"10","17:30","+3","17.299999"
"10","17:30","+4","17.000000"
"10","18:30","+1","17.700001"
"10","18:30","+2","17.299999"
"10","18:30","+3","17.000000"
"10","19:30","+1","17.200001"
"10","19:30","+2","17.000000"
"10","20:30","+1","17.000000"
"10","20:30","+2","18.299999"
"10","20:30","+3","19.700001"
"10","20:30","+4","21.000000"
"10","21:30","+1","17.799999"
"10","21:30","+2","18.900000"
"10","21:30","+3","20.000000"
"10","22:30","+1","18.400000"
"10","22:30","+2","20.000000"
"10","23:30","+1","20.000000"
"10","23:30","+2","21.700001"
"10","23:30","+3","23.299999"
"10","23:30","+4","25.000000"
"11","00:30","+1","21.200001"
"11","00:30","+2","23.100000"
"11","00:30","+3","25.000000"
"11","01:30","+1","23.200001"
"11","01:30","+2","25.000000"
"11","02:30","+1","25.000000"
"11","02:30","+2","25.299999"
"11","02:30","+3","25.700001"
"11","02:30","+4","26.000000"
"11","03:30","+1","24.900000"
"11","03:30","+2","25.500000"
"11","03:30","+3","26.000000"
"11","04:30","+1","25.500000"
"11","04:30","+2","26.000000"
"11","05:30","+1","26.000000"
"11","05:30","+2","25.299999"
"11","05:30","+3","24.700001"
"11","05:30","+4","24.000000"
"11","06:30","+1","24.400000"
"11","06:30","+2","24.200001"
"11","06:30","+3","24.000000"
"11","07:30","+1","24.200001"
"11","07:30","+2","24.000000"
"11","08:30","+1","24.000000"
"11","08:30","+2","23.000000"
"11","08:30","+3","22.000000"
"11","08:30","+4","21.000000"
"11","09:30","+1","23.000000"
"11","09:30","+2","22.000000"
"11","09:30","+3","21.000000"
"11","10:30","+1","22.000000"
"11","10:30","+2","21.000000"
"11","11:30","+1","21.000000"
"11","11:30","+2","20.299999"
"11","11:30","+3","19.700001"
"11","11:30","+4","19.000000"
"11","12:30","+1","20.900000"
"11","12:30","+2","19.900000"
"11","12:30","+3","19.000000"
"11","13:30","+1","20.100000"
"11","13:30","+2","19.000000"
"11","14:30","+1","19.000000"
"11","14:30","+2","18.700001"
"11","14:30","+3","18.299999"
"11","14:30","+4","18.000000"
"11","15:30","+1","19.400000"
"11","15:30","+2","18.700001"
"11","15:30","+3","18.000000"
"11","16:30","+1","18.799999"
"11","16:30","+2","18.000000"
"11","17:30","+1","18.000000"
"11","17:30","+2","17.700001"
"11","17:30","+3","17.299999"
"11","17:30","+4","17.000000"
"11","18:30","+1","18.000000"
"11","18:30","+2","17.500000"
"11","18:30","+3","17.000000"
"11","19:30","+1","17.500000"
"11","19:30","+2","17.000000"
"11","20:30","+1","17.000000"
"11","20:30","+2","18.299999"
"11","20:30","+3","19.700001"
"11","20:30","+4","21.000000"
"11","21:30","+1","18.100000"
"11","21:30","+2","19.000000"
"11","21:30","+3","20.000000"
"11","22:30","+1","18.500000"
"11","22:30","+2","20.000000"
"11","23:30","+1","20.000000"
"11","23:30","+2","21.700001"
"11","23:30","+3","23.299999"
"11","23:30","+4","25.000000"
"12","00:30","+1","21.600000"
"12","00:30","+2","23.299999"
"12","00:30","+3","25.000000"
"12","01:30","+1","23.400000"
"12","01:30","+2","25.000000"
"12","02:30","+1","25.000000"
"12","02:30","+2","25.700001"
"12","02:30","+3","26.299999"
"12","02:30","+4","27.000000"
"12","03:30","+1","25.900000"
"12","03:30","+2","26.900000"
"12","03:30","+3","28.000000"
"12","04:30","+1","27.000000"
"12","04:30","+2","28.000000"
"12","05:30","+1","28.000000"
"12","05:30","+2","27.299999"
"12","05:30","+3","26.700001"
"12","05:30","+4","26.000000"
"12","06:30","+1","26.600000"
"12","06:30","+2","26.299999"
"12","06:30","+3","26.000000"
"12","07:30","+1","26.500000"
"12","07:30","+2","26.000000"
"12","08:30","+1","26.000000"
"12","08:30","+2","24.700001"
"12","08:30","+3","23.299999"
"12","08:30","+4","22.000000"
"12","09:30","+1","25.000000"
"12","09:30","+2","24.000000"
"12","09:30","+3","23.000000"
"12","10:30","+1","23.700001"
"12","10:30","+2","23.000000"
"12","11:30","+1","23.000000"
"12","11:30","+2","22.700001"
"12","11:30","+3","22.299999"
"12","11:30","+4","22.000000"
"12","12:30","+1","22.500000"
"12","12:30","+2","22.200001"
"12","12:30","+3","22.000000"
"12","13:30","+1","22.200001"
"12","13:30","+2","22.000000"
"12","14:30","+1","22.000000"
"12","14:30","+2","21.299999"
"12","14:30","+3","20.700001"
"12","14:30","+4","20.000000"
"12","15:30","+1","21.299999"
