진료년도,주상병코드,성별,입원외래구분,환자수(명),청구건수(건),요양급여비용(원)
2013,B18,여,외래,158050 ,654059 ,48258289820 
2013,B18,남,입원,4795 ,6270 ,8366519390 
2013,B18,여,입원,3271 ,4380 ,5630205140 
2013,B19,남,외래,4419 ,8131 ,295322040 
2013,B19,여,외래,4482 ,6948 ,270834480 
2013,B19,남,입원,152 ,196 ,209279920 
2013,B19,여,입원,126 ,153 ,160967650 
2013,B20,남,외래,808 ,4420 ,6445674860 
2013,B20,여,외래,109 ,426 ,664704730 
2013,B20,남,입원,129 ,200 ,1041919270 
2013,B20,여,입원,12 ,21 ,115044270 
2013,B21,남,외래,34 ,229 ,202157140 
2013,B21,여,외래,1 ,4 ,11451380 
2013,B21,남,입원,9 ,15 ,75817250 
2013,B22,남,외래,46 ,248 ,338338690 
2013,B22,여,외래,10 ,30 ,19576590 
2013,B22,남,입원,22 ,28 ,147419820 
2013,B22,여,입원,3 ,5 ,6958840 
2013,B23,남,외래,268 ,1401 ,1856065620 
2013,B23,여,외래,25 ,150 ,155611320 
2013,B23,남,입원,27 ,34 ,98316860 
2013,B23,여,입원,1 ,1 ,1043070 
2013,B24,남,외래,4812 ,32198 ,43944422330 
2013,B24,여,외래,443 ,2905 ,4073391410 
2013,B24,남,입원,502 ,914 ,3360322290 
2013,B24,여,입원,48 ,96 ,333465240 
2013,B25,남,외래,368 ,1690 ,118751710 
2013,B25,여,외래,269 ,939 ,82843720 
2013,B25,남,입원,127 ,181 ,919681370 
2013,B25,여,입원,99 ,170 ,650765940 
2013,B26,남,외래,22330 ,42661 ,987311710 
2013,B26,여,외래,11709 ,20215 ,455737330 
2013,B26,남,입원,1854 ,1936 ,1550148020 
2013,B26,여,입원,664 ,692 ,537002500 
2013,B27,남,외래,1250 ,2176 ,60689530 
2013,B27,여,외래,1448 ,2603 ,61390590 
2013,B27,남,입원,443 ,472 ,466746000 
2013,B27,여,입원,386 ,409 ,426518690 
2013,B30,남,외래,183911 ,380310 ,5565230140 
2013,B30,여,외래,193094 ,389608 ,5649333350 
2013,B30,남,입원,947 ,957 ,480391880 
